,attitude.roll,attitude.pitch,attitude.yaw,gravity.x,gravity.y,gravity.z,rotationRate.x,rotationRate.y,rotationRate.z,userAcceleration.x,userAcceleration.y,userAcceleration.z
0,1.528132,-0.733896,0.696372,0.741895,0.669768,-0.031672,0.316738,0.77818,1.082764,0.294894,-0.184493,0.377542
1,1.527992,-0.716987,0.677762,0.753099,0.657116,-0.032255,0.842032,0.424446,0.643574,0.219405,0.035846,0.114866
2,1.527765,-0.706999,0.670951,0.759611,0.649555,-0.032707,-0.138143,-0.040741,0.343563,0.010714,0.134701,-0.167808
3,1.516768,-0.704678,0.675735,0.760709,0.647788,-0.04114,-0.025005,-1.048717,0.03586,-0.008389,0.136788,0.094958
4,1.493941,-0.703918,0.672994,0.760062,0.64721,-0.05853,0.114253,-0.91289,0.047341,0.199441,0.353996,-0.044299
5,1.476302,-0.700807,0.669443,0.760912,0.644835,-0.072116,0.187742,-0.763656,0.226057,0.168241,0.145906,0.012455
6,1.455153,-0.694408,0.662593,0.7633,0.63993,-0.088666,0.343096,-0.80382,0.278468,0.079382,-0.026344,-0.19559
7,1.441702,-0.69071,0.656459,0.76438,0.637084,-0.099229,0.176202,-0.172756,0.056415,0.06936,0.072678,-0.10292
8,1.44344,-0.691905,0.651196,0.763796,0.638005,-0.097803,0.274786,0.446585,-0.132766,0.072889,0.079921,-0.075323
9,1.443071,-0.693039,0.638198,0.763042,0.638878,-0.097993,0.633672,0.316372,-0.115137,0.098347,-0.017021,-0.19731
10,1.434186,-0.693527,0.616938,0.761832,0.639253,-0.104726,0.865711,0.179274,-0.130432,-0.0176,-0.119279,-0.154231
11,1.412539,-0.69193,0.59224,0.760394,0.638024,-0.121353,1.010791,-0.662185,-0.017245,-0.090762,-0.104989,-0.196168
12,1.366432,-0.686835,0.562806,0.757165,0.634093,-0.156928,1.233366,-1.834122,0.089429,-0.022256,-0.090728,-0.068734
13,1.298239,-0.676703,0.533675,0.750862,0.626226,-0.209876,1.183222,-2.790427,0.32104,-0.005088,-0.097982,0.12551
14,1.222763,-0.660279,0.51297,0.742468,0.613337,-0.269368,1.145214,-3.434572,0.536324,0.058954,-0.040995,0.165532
15,1.137867,-0.639672,0.490227,0.728273,0.596932,-0.336587,1.251651,-3.644069,0.620658,0.083052,0.114295,0.123086
16,1.059596,-0.623715,0.476399,0.707943,0.584055,-0.39711,0.600647,-3.449093,0.379781,-0.021313,0.244726,0.370255
17,1.002833,-0.624159,0.478032,0.684055,0.584415,-0.436495,-0.031705,-2.780694,0.017706,-0.269154,0.158627,0.45006
18,0.955538,-0.628684,0.480025,0.660488,0.588081,-0.466816,-0.286189,-2.203564,-0.23157,-0.437267,0.051949,0.252811
19,0.923844,-0.640685,0.484397,0.639685,0.597745,-0.483222,-0.63246,-1.355699,-0.440174,-0.383933,-0.0341,0.299583
20,0.916433,-0.655642,0.491873,0.628922,0.609668,-0.482454,-0.688157,-0.150945,-0.37374,-0.276871,-0.010044,0.368135
21,0.936385,-0.67165,0.504363,0.63048,0.622279,-0.463966,-1.080752,1.072168,-0.343867,-0.207018,0.034551,0.142982
22,0.983451,-0.696289,0.52989,0.638651,0.641375,-0.425162,-1.761044,1.712208,-0.505399,-0.248057,-0.071764,0.062476
23,1.04679,-0.725263,0.565948,0.647916,0.663332,-0.374426,-1.942253,2.245388,-0.483847,-0.252744,-0.109881,0.048285
24,1.129694,-0.752479,0.604115,0.660123,0.683451,-0.311663,-1.890273,3.203544,-0.647082,-0.202527,-0.056543,-0.139479
25,1.231014,-0.786512,0.649841,0.665937,0.707894,-0.235403,-2.378386,3.535351,-1.148708,0.012835,0.131904,-0.321589
26,1.347834,-0.829441,0.717322,0.658573,0.737554,-0.149319,-3.073846,3.196258,-1.527009,0.434857,0.520213,-0.468112
27,1.446529,-0.862922,0.799754,0.645207,0.759745,-0.080593,-2.689446,0.650326,-0.814967,0.481304,0.394734,-0.54813
28,1.459509,-0.86727,0.852132,0.642909,0.762566,-0.071845,-1.071424,-2.076484,0.370601,0.388906,-0.14135,-0.605554
29,1.42974,-0.853959,0.860604,0.650478,0.753887,-0.092367,0.238801,-1.324572,0.875512,0.012241,-0.56921,-0.627176
30,1.423932,-0.828491,0.849856,0.668711,0.736912,-0.098922,0.602886,1.096871,1.340697,-0.260615,-0.703785,-0.042603
31,1.467277,-0.807885,0.845579,0.68733,0.722827,-0.071407,-0.074176,2.732446,0.502796,-0.390943,-0.381412,0.387172
32,1.528445,-0.817684,0.866158,0.6833,0.729564,-0.028956,-0.975081,2.029278,-0.823987,-0.365612,0.43694,0.579142
33,1.585233,-0.833967,0.891543,0.671873,0.740603,0.009701,-0.720561,1.708834,-0.563289,-0.382505,1.362684,0.657322
34,1.602666,-0.832327,0.902315,0.672815,0.7395,0.02145,-0.102528,-0.236552,0.279939,-0.50686,0.825365,0.26305
35,1.579153,-0.828752,0.892049,0.675773,0.737088,0.005647,0.549961,-0.978518,0.114532,-0.07064,-0.034559,-0.021043
36,1.556643,-0.827588,0.874238,0.676586,0.736301,-0.009577,0.544057,-0.028891,0.003247,0.185963,-0.041828,-0.012533
37,1.560414,-0.827148,0.863917,0.676941,0.736004,-0.007029,0.251413,0.732255,0.122005,0.296493,-0.002269,0.073175
38,1.566605,-0.82169,0.858559,0.680979,0.732298,-0.002854,0.164566,0.351492,0.31203,0.571417,0.151186,-0.229492
39,1.570954,-0.815059,0.852767,0.685826,0.727766,0.000108,0.260375,0.605503,0.376467,0.759838,0.371599,-0.109514
40,1.578406,-0.807213,0.843949,0.691495,0.722363,0.005262,0.230325,0.569375,0.379508,0.821887,0.381245,0.039904
41,1.58311,-0.798288,0.843982,0.697881,0.716162,0.008594,-0.042117,0.122452,0.492477,0.041133,-0.190848,0.11868
42,1.586565,-0.790852,0.84331,0.703153,0.710952,0.011089,-0.011653,0.289342,0.289514,-0.05856,-0.138427,-0.037807
43,1.599318,-0.790145,0.851802,0.703456,0.710455,0.020069,-0.461052,0.260764,-0.165446,-0.100154,-0.074881,-0.13245
44,1.609645,-0.797164,0.867218,0.698211,0.715377,0.027138,-0.534409,-0.178958,-0.42711,0.060853,0.031845,0.013969
45,1.616584,-0.805405,0.88557,0.692093,0.721111,0.031711,-0.697517,-0.394614,-0.434382,0.250656,-0.013393,-0.052646
46,1.622189,-0.810981,0.907495,0.687878,0.724963,0.035383,-0.725928,-0.564767,-0.216445,0.24921,-0.158709,-0.034773
47,1.617452,-0.803518,0.920612,0.693423,0.719803,0.032376,-0.525354,-0.589796,0.004023,0.23245,-0.320358,-0.188397
48,1.61021,-0.803335,0.931939,0.693771,0.719676,0.027358,-0.333441,-0.891791,-0.031637,0.204727,-0.397257,-0.443374
49,1.598267,-0.804383,0.941282,0.693294,0.720403,0.01905,-0.304708,-0.941823,-0.065555,0.126149,-0.356252,-0.323829
50,1.583899,-0.805282,0.946705,0.692848,0.721026,0.009079,-0.119064,-0.926548,-0.050391,0.040367,-0.299029,-0.045944
51,1.565382,-0.806011,0.949998,0.692372,0.721531,-0.003749,-0.140231,-1.085363,-0.009743,-0.029408,-0.257832,0.071864
52,1.548804,-0.80442,0.956486,0.693361,0.720429,-0.015251,-0.27648,-1.122698,0.120744,-0.072603,-0.215256,0.04322
53,1.522246,-0.801376,0.962008,0.694899,0.718314,-0.033764,-0.062344,-1.807737,0.218189,-0.119017,-0.26966,-0.007145
54,1.47832,-0.794111,0.96057,0.697924,0.713241,-0.064726,0.122015,-2.354657,0.432754,-0.141436,-0.268768,-0.034777
55,1.416839,-0.781531,0.953731,0.70144,0.704367,-0.108853,0.491906,-3.109103,0.702292,-0.14454,-0.123404,-0.028614
56,1.330097,-0.764008,0.93423,0.701253,0.691821,-0.172128,1.063068,-3.954876,0.725522,-0.106694,0.238294,-0.020652
57,1.228068,-0.74538,0.909263,0.692093,0.678251,-0.246945,1.072821,-4.301614,0.581824,-0.082367,0.500948,0.21835
58,1.137169,-0.731287,0.900155,0.675428,0.667828,-0.312736,0.222428,-4.153467,0.504099,-0.011563,0.497272,0.424079
59,1.061024,-0.724433,0.902038,0.65366,0.662711,-0.365435,0.243079,-3.634696,0.224773,-0.073216,0.414117,0.327578
60,0.990882,-0.717177,0.890663,0.630447,0.65726,-0.412972,0.567687,-2.833896,0.015574,-0.058319,0.323407,0.024468
61,0.936505,-0.714653,0.886415,0.608405,0.655356,-0.447608,0.010425,-2.352914,0.096523,-0.014182,0.165994,0.438147
62,0.914364,-0.708862,0.894209,0.601342,0.65097,-0.463276,-0.0792,-0.72133,0.544596,-0.050393,-0.002777,0.445637
63,0.928834,-0.704344,0.909449,0.610332,0.647534,-0.456283,-0.537862,0.664309,0.480865,-0.243022,-0.056439,0.136352
64,0.962657,-0.709222,0.935901,0.622813,0.651244,-0.433573,-1.191726,0.777999,0.322328,-0.365703,-0.003035,0.108896
65,0.994619,-0.722852,0.971487,0.628848,0.661526,-0.408575,-1.662435,0.262846,0.087896,-0.402469,-0.100567,0.125982
66,1.032387,-0.744786,1.015217,0.631216,0.677815,-0.377006,-2.154689,0.629902,-0.168113,-0.331396,-0.194187,0.004981
67,1.093644,-0.775014,1.070784,0.634616,0.699726,-0.328094,-2.65874,1.446591,-0.435463,-0.251208,-0.195225,-0.141632
68,1.171037,-0.810586,1.131549,0.634744,0.724691,-0.268186,-2.641357,1.79237,-0.873756,0.052253,-0.072149,-0.296084
69,1.251833,-0.845009,1.191962,0.630247,0.747977,-0.208132,-2.374246,1.767496,-0.745808,0.442384,0.380701,-0.574979
70,1.302417,-0.855824,1.233109,0.632128,0.755111,-0.173844,-0.745902,0.202547,0.25354,0.620573,0.429764,-0.694015
71,1.279628,-0.845533,1.22882,0.635412,0.748325,-0.190424,0.633841,-1.359759,0.541849,0.469553,0.453427,-0.970602
72,1.256518,-0.827858,1.228694,0.643322,0.736484,-0.209112,-0.016013,-0.919413,1.007832,0.173756,0.450756,-1.018579
73,1.256213,-0.809375,1.242856,0.656092,0.723856,-0.213485,-0.150397,-0.264595,0.939824,-0.185969,-0.071787,-0.133851
74,1.255842,-0.80108,1.240967,0.661699,0.718108,-0.215581,0.416105,0.185818,-0.033151,-0.100023,-0.016585,0.229939
75,1.24478,-0.806294,1.218805,0.655718,0.721727,-0.221685,0.761158,0.368247,-0.66443,0.046904,0.498137,0.4502
76,1.243234,-0.810727,1.197761,0.652338,0.724789,-0.221667,0.359515,0.787237,-0.13473,0.020315,0.667484,0.668475
77,1.266007,-0.801499,1.206465,0.663569,0.7184,-0.208754,-0.376665,1.009725,0.807356,-0.307124,0.014053,0.885603
78,1.309301,-0.79185,1.224423,0.678647,0.711654,-0.181622,-0.332541,1.653505,0.414802,-0.152173,0.045334,0.693722
79,1.336014,-0.786368,1.209189,0.68704,0.707792,-0.164336,1.083259,1.985695,0.03116,0.077319,0.294573,0.677016
80,1.344454,-0.776343,1.180287,0.695282,0.700675,-0.160116,1.062103,0.866275,0.535579,0.752105,0.080133,0.019582
81,1.333899,-0.747851,1.161083,0.712676,0.680065,-0.172062,0.922387,-0.143354,1.65753,0.734712,0.100743,0.031528
82,1.327151,-0.726038,1.173891,0.725724,0.663912,-0.180403,-1.050862,-1.099451,0.575682,0.449661,-0.397036,-0.50284
83,1.333551,-0.73256,1.214267,0.72264,0.668775,-0.174733,-1.614215,-0.813613,-0.086644,0.071687,-0.091657,0.467138
84,1.351241,-0.744215,1.255084,0.717961,0.677395,-0.160215,-1.587959,-0.412282,-0.305961,0.127132,0.068196,0.451642
85,1.370646,-0.759843,1.297211,0.710472,0.688807,-0.144131,-1.776295,-0.506669,-0.51439,0.239037,0.24883,0.216092
86,1.393456,-0.777849,1.348957,0.701251,0.701748,-0.125681,-2.092136,-0.760141,-0.522681,0.190671,0.127963,0.097894
87,1.417239,-0.794439,1.404555,0.69244,0.713471,-0.107173,-2.025938,-0.721069,-0.494495,0.106769,-0.022736,0.113582
88,1.44564,-0.811402,1.459657,0.683097,0.725253,-0.085943,-2.052114,-0.493589,-0.615678,-0.021568,-0.056414,0.123724
89,1.483298,-0.828718,1.521751,0.673236,0.737065,-0.059058,-2.278262,-0.262646,-0.630373,-0.104526,-0.057866,0.188254
90,1.533344,-0.843462,1.588264,0.664415,0.746949,-0.024896,-2.221199,0.155545,-0.56428,-0.081102,-0.068788,0.253045
91,1.582809,-0.854924,1.651019,0.656228,0.754521,0.007883,-2.008306,0.053578,-0.557321,0.023215,-0.078084,0.113531
92,1.627649,-0.865503,1.710179,0.64721,0.761421,0.036836,-1.844004,0.010568,-0.599916,0.019233,-0.147972,-0.035111
93,1.670317,-0.873238,1.763469,0.63917,0.766413,0.063822,-1.600836,0.107262,-0.482973,-0.105936,-0.18989,-0.030451
94,1.706695,-0.878798,1.809687,0.632194,0.769972,0.086447,-1.334739,-0.003503,-0.453199,-0.141609,-0.188109,0.041452
